
Serial,Description,SBU,Scope,Review Frequency,Last review date,Next review date,Days (next review),Expired,Regulatory,Approved,Responsibility,Note
1,Policy1,Retail,Provision,Annually,19-Oct-16,20-Oct-18,340,No,Yes,Approved,Retail Head,Update required
2,Policy2,Corporate,Lending,Monthly,20-Oct-16,21-Oct-18,341,No,Yes,Approved,Corporate Head,
3,Policy3,Treasury,FX,Daily,21-Oct-15,22-Oct-16,-388,Yes,Yes,Unapproved,Treasury Head,
4,Policy4,Financial,Accounting,Annually,22-Oct-16,23-Oct-18,343,No,No,Approved,Financial Head,Draft
5,Policy5,Operations,Expenses,Monthly,23-Oct-16,24-Oct-18,344,No,Yes,Approved,Operations Head,
6,Policy6,Human resources,Talent Acq,Quarterly,24-Oct-16,25-Oct-18,345,No,Yes,Approved,HR Head,
7,Policy7,Investments,Ratios,Daily,25-Oct-16,26-Oct-18,346,No,Yes,Approved,Investment Head,
8,Policy8,RMC,Charter,Annually,26-Oct-16,27-Oct-18,347,No,Yes,Approved,RMC - CRO,
9,Policy9,Accounts,Books,Daily,27-Oct-14,28-Oct-15,-748,Yes,No,Unapproved,Accounts - CFO,Urgent
10,Policy10,Infotech,Network,Weekly,28-Oct-15,29-Oct-15,-747,Yes,No,Unapproved,IT Head,Technical
11,Policy11,Retail,Provision1,Annually,29-Oct-15,29-Nov-15,-716,Yes,Yes,Unapproved,Retail Head,
12,Policy12,Corporate,Lending1,Monthly,30-Oct-15,29-Dec-15,-686,Yes,Yes,Unapproved,Corporate Head,
13,Policy13,Treasury,FX1,Daily,2-Nov-15,29-Jan-16,-655,Yes,Yes,Unapproved,Treasury Head,
14,Policy14,Financial,Accounting1,Annually,3-Nov-15,29-Feb-16,-624,Yes,Yes,Unapproved,Financial Head,
15,Policy15,Operations,Expenses1,Monthly,4-Nov-15,29-Mar-16,-595,Yes,Yes,Unapproved,Operations Head,
16,Policy16,Human resources,Talent Acq1,Quarterly,5-Nov-15,29-Apr-16,-564,Yes,Yes,Unapproved,HR Head,
17,Policy17,Investments,Ratios1,Daily,6-Nov-15,29-May-16,-534,Yes,Yes,Unapproved,Investment Head,Update required
18,Policy18,RMC,Charter1,Annually,9-Nov-15,29-Jun-16,-503,Yes,Yes,Unapproved,RMC - CRO,
19,Policy19,Accounts,Books1,Daily,10-Nov-15,29-Jul-16,-473,Yes,Yes,Unapproved,Accounts - CFO,
20,Policy20,Infotech,Network1,Weekly,11-Nov-15,29-Aug-16,-442,Yes,Yes,Unapproved,IT Head,Draft
21,Policy21,Retail,Provision2,Annually,12-Nov-15,29-Sep-16,-411,Yes,Yes,Unapproved,Retail Head,
22,Policy22,Corporate,Lending2,Monthly,13-Nov-15,29-Oct-16,-381,Yes,Yes,Unapproved,Corporate Head,
23,Policy23,Treasury,FX2,Daily,16-Nov-15,29-Nov-16,-350,Yes,Yes,Unapproved,Treasury Head,
